id,kind,evidence_id,stripe_charge_id,source_staged_payment_id,gross_amount,fee_amount,net_amount,currency,received_date,lifecycle
"pu_ch_3K7Mf3AhXr9x8yiR1Zofog9p","stripe_charge","ch_3K7Mf3AhXr9x8yiR1Zofog9p","ch_3K7Mf3AhXr9x8yiR1Zofog9p","","50.00","2.35","47.65","USD","2021-12-16","received"
"pu_ch_3K7hO4AhXr9x8yiR0avGRHJU","stripe_charge","ch_3K7hO4AhXr9x8yiR0avGRHJU","ch_3K7hO4AhXr9x8yiR0avGRHJU","","50.00","2.35","47.65","USD","2021-12-17","received"
"pu_ch_3KCrHoAhXr9x8yiR1qEM78H6","stripe_charge","ch_3KCrHoAhXr9x8yiR1qEM78H6","ch_3KCrHoAhXr9x8yiR1qEM78H6","","259.11","10.92","248.19","USD","2021-12-31","received"
"pu_ch_3KYw8nAhXr9x8yiR0Jh2b7i6","stripe_charge","ch_3KYw8nAhXr9x8yiR0Jh2b7i6","ch_3KYw8nAhXr9x8yiR0Jh2b7i6","","21.01","1.16","19.85","USD","2022-03-02","received"
"pu_ch_3KZFh2AhXr9x8yiR0rr1AZNo","stripe_charge","ch_3KZFh2AhXr9x8yiR0rr1AZNo","ch_3KZFh2AhXr9x8yiR0rr1AZNo","","52.07","2.43","49.64","USD","2022-03-03","received"
"pu_ch_3KZGeUAhXr9x8yiR1sa5jrT5","stripe_charge","ch_3KZGeUAhXr9x8yiR1sa5jrT5","ch_3KZGeUAhXr9x8yiR1sa5jrT5","","50.00","2.35","47.65","USD","2022-03-03","received"
"pu_ch_3KZGhYAhXr9x8yiR0uxTZRc3","stripe_charge","ch_3KZGhYAhXr9x8yiR0uxTZRc3","ch_3KZGhYAhXr9x8yiR0uxTZRc3","","52.07","2.43","49.64","USD","2022-03-03","received"
"pu_ch_3Ka9uFAhXr9x8yiR05Xfum56","stripe_charge","ch_3Ka9uFAhXr9x8yiR05Xfum56","ch_3Ka9uFAhXr9x8yiR05Xfum56","","2000.00","82.30","1917.70","USD","2022-03-05","received"
"pu_ch_3KapgLAhXr9x8yiR1QaflMjk","stripe_charge","ch_3KapgLAhXr9x8yiR1QaflMjk","ch_3KapgLAhXr9x8yiR1QaflMjk","","103.83","4.56","99.27","USD","2022-03-07","received"
"pu_ch_3KbojKAhXr9x8yiR0sRgl9Ne","stripe_charge","ch_3KbojKAhXr9x8yiR0sRgl9Ne","ch_3KbojKAhXr9x8yiR0sRgl9Ne","","103.83","4.56","99.27","USD","2022-03-10","received"
"pu_ch_3KrChUAhXr9x8yiR01XG2KfV","stripe_charge","ch_3KrChUAhXr9x8yiR01XG2KfV","ch_3KrChUAhXr9x8yiR01XG2KfV","","52.07","2.43","49.64","USD","2022-04-21","received"
"pu_ch_3L8Ux4AhXr9x8yiR1eIThBuP","stripe_charge","ch_3L8Ux4AhXr9x8yiR1eIThBuP","ch_3L8Ux4AhXr9x8yiR1eIThBuP","","5.00","0.51","4.49","USD","2022-06-08","received"
"pu_ch_3LCpMJAhXr9x8yiR0Qwvoud6","stripe_charge","ch_3LCpMJAhXr9x8yiR0Qwvoud6","ch_3LCpMJAhXr9x8yiR0Qwvoud6","","26.19","1.37","24.82","USD","2022-06-20","received"
"pu_ch_3LCphjAhXr9x8yiR1C9DbW5v","stripe_charge","ch_3LCphjAhXr9x8yiR1C9DbW5v","ch_3LCphjAhXr9x8yiR1C9DbW5v","","52.07","2.43","49.64","USD","2022-06-20","received"
"pu_ch_3LCqWKAhXr9x8yiR1VNZMpxf","stripe_charge","ch_3LCqWKAhXr9x8yiR1VNZMpxf","ch_3LCqWKAhXr9x8yiR1VNZMpxf","","25.00","1.33","23.67","USD","2022-06-20","received"
"pu_ch_3LCqluAhXr9x8yiR0ugxWvyS","stripe_charge","ch_3LCqluAhXr9x8yiR0ugxWvyS","ch_3LCqluAhXr9x8yiR0ugxWvyS","","52.07","2.43","49.64","USD","2022-06-20","received"
"pu_ch_3LCsOXAhXr9x8yiR18Kq6B12","stripe_charge","ch_3LCsOXAhXr9x8yiR18Kq6B12","ch_3LCsOXAhXr9x8yiR18Kq6B12","","52.07","2.43","49.64","USD","2022-06-20","received"
"pu_ch_3LCxycAhXr9x8yiR1qROUq99","stripe_charge","ch_3LCxycAhXr9x8yiR1qROUq99","ch_3LCxycAhXr9x8yiR1qROUq99","","52.07","2.43","49.64","USD","2022-06-20","received"
"pu_ch_3LEv3JAhXr9x8yiR09oqdq5l","stripe_charge","ch_3LEv3JAhXr9x8yiR09oqdq5l","ch_3LEv3JAhXr9x8yiR09oqdq5l","","41.72","2.01","39.71","USD","2022-06-26","received"
"pu_ch_3LNfrvAhXr9x8yiR1eLqJLDi","stripe_charge","ch_3LNfrvAhXr9x8yiR1eLqJLDi","ch_3LNfrvAhXr9x8yiR1eLqJLDi","","52.07","2.43","49.64","USD","2022-07-20","received"
"pu_ch_3LOg6vAhXr9x8yiR1tMoByKp","stripe_charge","ch_3LOg6vAhXr9x8yiR1tMoByKp","ch_3LOg6vAhXr9x8yiR1tMoByKp","","517.91","21.53","496.38","USD","2022-07-23","received"
"pu_ch_3LPSnoAhXr9x8yiR0mZzEh3o","stripe_charge","ch_3LPSnoAhXr9x8yiR0mZzEh3o","ch_3LPSnoAhXr9x8yiR0mZzEh3o","","207.35","8.80","198.55","USD","2022-07-25","received"
"pu_ch_3LSPWVAhXr9x8yiR0e3krOFp","stripe_charge","ch_3LSPWVAhXr9x8yiR0e3krOFp","ch_3LSPWVAhXr9x8yiR0e3krOFp","","26.19","1.37","24.82","USD","2022-08-02","received"
"pu_ch_3LY7uWAhXr9x8yiR1Y6xBa5R","stripe_charge","ch_3LY7uWAhXr9x8yiR1Y6xBa5R","ch_3LY7uWAhXr9x8yiR1Y6xBa5R","","5.49","0.53","4.96","USD","2022-08-18","received"
"pu_ch_3LYudbAhXr9x8yiR1rzT97il","stripe_charge","ch_3LYudbAhXr9x8yiR1rzT97il","ch_3LYudbAhXr9x8yiR1rzT97il","","52.07","2.43","49.64","USD","2022-08-20","received"
"pu_ch_3LdhRVAhXr9x8yiR0vV9WIb8","stripe_charge","ch_3LdhRVAhXr9x8yiR0vV9WIb8","ch_3LdhRVAhXr9x8yiR0vV9WIb8","","3.00","0.43","2.57","USD","2022-09-02","received"
